region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
BC,bc,British Columbia,strongly agree,definitely yes,yes,moderately uncomfortable,unimportant,that depends ,no,yes i do know it is ,both,unimportant,probably not,probably yes,probably not,yes ,other ,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,strongly agree,probably yes,24,canada,other,high school,i am not currently studying,3,yes ,3,12 hours
other,australia,United States,strongly agree,probably yes,no,,extremely important,that depends ,no,,both,important,probably not,probably yes,,yes ,british english,,yes,yes,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,54,united states,female,other ,i am not currently studying,0,no,,12 hours
BC,bc,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,,yes,no,,zee,neither unimportant nor important,probably yes,probably yes,probably not,yes ,british english,rarely,yes,yes,definitely not,definitely yes,disagree,neither disagree nor agree,disagree,strongly agree,probably yes,24,canada,female,undergraduate degree,fourth year+,4,yes ,10,24 hours
US,us,United States,agree,probably not,no,,unimportant,yes,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,,probably yes,no,british english,sometimes,,,probably yes,probably yes,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,,74,united states,female,postgraduate degree,i am not currently studying,0,no,,24 hours
BC,bc,British Columbia,agree,neutral,yes,moderately comfortable,important,that depends ,not sure,,both,important,probably yes,probably yes,,yes ,british english,rarely,yes,yes,definitely yes,might or might not,disagree,strongly disagree,agree,agree,probably yes,24,canada,female,undergraduate degree,i am not currently studying,4,yes ,3,46 hours
BC,bc,British Columbia,strongly agree,probably not,no,,important,no,yes,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,no,neither yes or no,definitely yes,probably yes,agree,disagree,,,probably yes,24,canada,female,high school,second year,0,yes ,7,46 hours
other,,United States,strongly agree,,no,,,yes,no,,zee,,,,,,british english,,,neither yes or no,,might or might not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,,74,united states,female,postgraduate degree,i am not currently studying,0,no,,12 hours
BC,bc,British Columbia,somewhat agree,neutral,no,,,that depends ,yes,yes i do know it is ,both,very unimportant,might or might not,,,,no particular variety,,yes,neither yes or no,probably yes,probably yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,male,high school,i am not currently studying,0,no,,24 hours
US,us,United States,strongly agree,probably yes,yes,does not apply to me ,,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,definitely yes,,yes ,british english,often,yes,no,definitely yes,definitely yes,disagree,disagree,agree,agree,definitely yes,54,united states,female,postgraduate degree,i am not currently studying,0,yes ,15,30 minutes to 1 hour
other,italy,other,strongly agree,definitely yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,might or might not,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,64,italy,female,postgraduate degree,i am not currently studying,7,no,,24 hours
US,us,United States,strongly disagreee,neutral,yes,moderately uncomfortable,,yes,yes,,zee,neither unimportant nor important,might or might not,,probably not,yes ,british english,often,yes,no,definitely yes,might or might not,agree,neither disagree nor agree,neither disagree nor agree,agree,,69,united states,female,graduate degree,i am not currently studying,0,yes ,13,12 hours
US,us,United States,strongly agree,probably yes,no,,important,that depends ,no,,zee,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,no,definitely yes,probably yes,disagree,disagree,agree,disagree,probably yes,74,united states,female,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
ON,on,Ontario,agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,,probably not,,british english,sometimes,,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,74,canada,female,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
other,australia,United States,strongly agree,probably yes,yes,does not apply to me ,important,yes,no,,zed,important,definitely yes,definitely yes,,,no particular variety,sometimes,yes,yes,probably yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,74,united states,female,graduate degree,i am not currently studying,0,yes ,3,12 hours
US,us,United States,strongly agree,probably yes,no,,important,yes,no,,zee,very important,definitely yes,probably not,probably not,,british english,often,no,no,probably yes,probably yes,strongly agree,neither disagree nor agree,disagree,neither disagree nor agree,definitely yes,64,united states,female,undergraduate degree,i am not currently studying,0,yes ,15,30 minutes to 1 hour
US,us,United States,strongly agree,probably yes,no,,important,that depends ,no,,zee,unimportant,probably not,probably yes,definitely not,yes ,no particular variety,often,yes,neither yes or no,definitely yes,probably yes,agree,disagree,agree,agree,definitely yes,54,united states,male,undergraduate degree,i am in a graduate program,0,no,,12 hours
AB,ab,Ontario,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,64,canada,female,postgraduate degree,i am not currently studying,2,no,,24 hours
MB,mb,British Columbia,strongly agree,definitely yes,yes,moderately uncomfortable,,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably yes,yes ,no particular variety,often,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,54,canada,female,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
BC,bc,Ontario,somewhat agree,probably not,no,,important,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,might or might not,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,male,high school,third year,0,no,,12 hours
