region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
ON,on,United States,strongly agree,probably not,no,,important,no,not sure,,zee,unimportant,probably yes,probably not,probably not,,no particular variety,sometimes,yes,neither yes or no,probably yes,probably not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,69,united states,female,postgraduate degree,i am not currently studying,0,no,,12 hours
BC,bc,British Columbia,strongly agree,probably not,yes,moderately comfortable,extremely unimportant,that depends ,no,yes but i cant describe it well,both,very unimportant,,probably not,probably not,,no particular variety,sometimes,,no,might or might not,probably yes,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,probably not,24,canada,female,undergraduate degree,i am in a graduate program,6,yes ,5,24 hours
ON,on,British Columbia,strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,probably yes,definitely yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,24,canada,male,undergraduate degree,i am in a graduate program,0,no,,46 hours
PE,pei,Ontario,strongly agree,probably yes,no,,important,that depends ,not sure,yes but i cant describe it well,zed,important,,probably yes,probably not,,british english,often,yes,yes,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,59,canada,female,postgraduate degree,i am not currently studying,0,no,,12 hours
BC,bc,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,important,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,agree,disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,female,high school,fourth year+,8,yes ,11,24 hours
ON,on,Ontario,strongly agree,definitely yes,no,,important,no,yes,,both,,probably yes,probably yes,,yes ,british english,often,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,54,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
ON,on,Ontario,strongly agree,definitely yes,yes,extremely comfortable,,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably yes,disagree,disagree,agree,agree,probably yes,44,canada,male,postgraduate degree,i am not currently studying,1,no,,30 minutes to 1 hour
SK,sk,British Columbia,agree,probably yes,no,,extremely important,that depends ,no,,both,very important,definitely yes,probably not,probably not,,british english,sometimes,yes,yes,probably yes,probably not,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,,64,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
ON,on,British Columbia,strongly agree,definitely yes,no,,important,that depends ,no,,both,important,probably yes,probably yes,probably not,no,no particular variety,rarely,yes,,probably yes,probably yes,strongly disagree,strongly disagree,agree,agree,,54,canada,male,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
ON,on,Ontario,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,definitely yes,64,canada,female,graduate degree,i am not currently studying,4,yes ,10,12 hours
ON,on,Ontario,strongly agree,definitely yes,no,,extremely important,that depends ,no,,zed,very unimportant,definitely yes,definitely yes,definitely not,,no particular variety,sometimes,yes,definitely yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,,64,canada,female,undergraduate degree,i am not currently studying,0,yes ,12,less than 30 minutes
BC,bc,British Columbia,somewhat agree,neutral,no,,unimportant,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,often,yes,definitely yes,probably not,definitely yes,neither disagree nor agree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
US,us,United States,strongly agree,probably yes,no,,unimportant,yes,no,,zee,very unimportant,probably yes,definitely yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,64,united states,female,other ,i am not currently studying,3,no,,12 hours
US,us,United States,strongly agree,probably yes,no,,,yes,yes,,zee,important,probably yes,probably not,,yes ,british english,sometimes,,yes,definitely yes,definitely yes,,,strongly agree,,definitely yes,54,united states,female,postgraduate degree,i am in a graduate program,0,no,,less than 30 minutes
ON,on,Ontario,strongly agree,definitely yes,no,,important,that depends ,no,,both,important,definitely yes,probably yes,probably not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,strongly agree,definitely yes,64,canada,male,high school,i am not currently studying,0,yes ,8,24 hours
US,us,Ontario,strongly agree,probably yes,yes,moderately comfortable,unimportant,yes,no,,zed,neither unimportant nor important,probably yes,probably yes,,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably not,agree,agree,agree,agree,definitely yes,59,canada,female,postgraduate degree,i am not currently studying,3,yes ,5,30 minutes to 1 hour
ON,on,British Columbia,,probably not,yes,extremely comfortable,unimportant,that depends ,no,,zed,unimportant,might or might not,probably not,probably not,no,canadian english,often,no,no,definitely yes,might or might not,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,definitely not,54,canada,female,undergraduate degree,i am not currently studying,0,yes ,9,24 hours
ON,on,British Columbia,agree,probably not,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,probably not,yes ,british english,rarely,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,strongly disagree,definitely yes,24,canada,female,high school,fourth year+,0,yes ,3,less than 30 minutes
QC,qc,Ontario,strongly agree,definitely yes,no,,extremely unimportant,that depends ,yes,yes i do know it is ,zed,very unimportant,definitely yes,probably yes,probably yes,yes ,canadian english,always,yes,definitely yes,definitely not,probably yes,neither disagree nor agree,agree,strongly agree,strongly agree,probably yes,84,canada,other,other ,other degree ,0,yes ,6,46 hours
US,us,Ontario,agree,neutral,yes,neither comfortable nor uncomfortable,important,yes,yes,yes i do know it is ,zed,very unimportant,definitely yes,probably yes,definitely not,no,no particular variety,often,no,yes,definitely yes,definitely yes,agree,disagree,disagree,disagree,probably yes,79,canada,female,graduate degree,i am not currently studying,0,yes ,6,30 minutes to 1 hour
BC,bc,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,unimportant,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,neither yes or no,probably yes,might or might not,agree,disagree,agree,strongly agree,probably yes,24,canada,female,high school,fourth year+,7,yes ,7,46 hours
BC,bc,British Columbia,strongly agree,probably yes,yes,extremely comfortable,unimportant,yes,yes,yes but i cant describe it well,zed,unimportant,probably not,probably not,,no,british english,never,no,neither yes or no,probably not,probably not,agree,disagree,strongly agree,strongly disagree,probably yes,24,canada,female,undergraduate degree,i am in a graduate program,2,yes ,6,24 hours
other,,Ontario,strongly disagreee,probably yes,no,,extremely unimportant,yes,yes,yes i do know it is ,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,strongly agree,strongly disagree,,agree,definitely yes,64,canada,female,graduate degree,i am not currently studying,0,yes ,2,30 minutes to 1 hour
BC,bc,British Columbia,strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably not,definitely not,no,canadian english,often,yes,yes,probably yes,probably yes,strongly agree,agree,strongly agree,strongly agree,probably yes,69,canada,female,graduate degree,i am not currently studying,1,yes ,2,30 minutes to 1 hour
ON,on,Ontario,strongly agree,probably not,yes,extremely comfortable,important,yes,no,,zed,neither unimportant nor important,probably yes,probably yes,probably not,no,british english,often,yes,neither yes or no,definitely yes,probably yes,disagree,disagree,disagree,agree,probably yes,69,canada,female,graduate degree,i am not currently studying,2,no,,30 minutes to 1 hour
ON,on,Ontario,strongly agree,,yes,extremely comfortable,,that depends ,yes,,both,neither unimportant nor important,,,probably not,no,british english,sometimes,no,yes,definitely yes,probably yes,,,,disagree,,24,canada,female,undergraduate degree,i am in a graduate program,0,no,,30 minutes to 1 hour
BC,bc,British Columbia,somewhat agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,strongly agree,agree,probably yes,49,canada,male,graduate degree,i am not currently studying,0,no,,24 hours
ON,on,Ontario,strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,probably not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,,disagree,definitely yes,24,canada,male,high school,third year,0,no,,30 minutes to 1 hour
ON,on,other,agree,definitely not,yes,moderately comfortable,unimportant,that depends ,no,,zee,very important,definitely yes,probably yes,probably not,,canadian english,often,yes,yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,strongly disagree,neither disagree nor agree,definitely yes,24,germany,male,high school,i am not currently studying,1,yes ,4,less than 30 minutes
AB,ab,British Columbia,strongly agree,definitely yes,no,,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,definitely not,,british english,sometimes,yes,yes,probably yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,male,graduate degree,i am not currently studying,0,no,,24 hours
ON,on,Ontario,agree,neutral,no,,extremely unimportant,no,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely not,definitely not,yes ,british english,sometimes,yes,yes,probably not,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,44,canada,female,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
ON,on,Alberta,strongly agree,neutral,no,,extremely unimportant,that depends ,no,,zed,very unimportant,definitely not,probably yes,definitely not,yes ,british english,often,no,definitely not,definitely yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,19,canada,male,high school,first year,0,yes ,10,12 hours
ON,on,Ontario,strongly agree,neutral,no,,extremely important,yes,not sure,,zed,very important,probably yes,probably yes,,yes ,british english,rarely,yes,yes,might or might not,definitely yes,disagree,disagree,agree,neither disagree nor agree,,54,canada,female,other ,i am not currently studying,0,no,,24 hours
ON,on,Ontario,agree,probably yes,no,,important,yes,no,,zed,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,39,canada,male,postgraduate degree,i am not currently studying,0,no,,less than 30 minutes
BC,bc,British Columbia,strongly agree,neutral,no,,important,yes,yes,yes but i cant describe it well,zed,important,,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,49,canada,female,other ,i am not currently studying,0,yes ,2,30 minutes to 1 hour
ON,on,Ontario,strongly agree,definitely yes,no,,important,yes,not sure,,zed,important,definitely yes,probably yes,definitely not,no,british english,always,yes,definitely yes,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,agree,probably yes,24,canada,female,undergraduate degree,fourth year+,0,yes ,6,24 hours
